asig_codigo,asig_nombre
ADM1147,ADM1147 - FORMULACION Y EVALUACION DE PROYECTOS
AGR1147,AGR1147 - COMUNICACIÓN Y TRANSFERENCIA TECNOLÓGICA
AMB1148,AMB1148 - LIMNOLOGIA
CAU1119,CAU1119 - GESTION DE COSTOS
CNB1126,CNB1126 - DIDACTICA DE LA BIOLOGIA
CPLT1146,CPLT1146 - SISTEMAS POLÍTICOS
DDO1099,"DDO1099 - MUJERES, CUERPOS Y ESPIRITUALIDADES"
DDO1117,DDO1117 - CIUDADANÍA E IDENTIDAD DIGITAL
EDI1169,EDI1169 - MEDIACION Y AMBIENTES ACTIVO-MODIFICANTES
EDI1170,EDI1170 - PRACTICA IV ENSEÑANZA EN AULAS DIVERSAS
FRN1122,FRN1122 - QUIMICA GENERAL
GEO1174,GEO1174 - GEOLOGIA DE CHILE
ICA1104,ICA1104 - ADMINISTRACION Y RRHH
ICI1109,ICI1109 - HERRAMIENTAS DE INGENIERIA AMBIENTAL
ICO1128,ICO1128 - PRÁCTICA I
ICOC1146,ICOC1146 - TALLER DE ESTRUCTURAS
ICOC1172,ICOC1172 - HORMIGON ARMADO II
IET1446,IET1446 - REFLEXIÓN FILOSÓFICA EN LENGUAJE AUDIOVISUAL
IND1101,IND1101 - TERMODINÁMICA
IPR1116,IPR1116 - PRACTICA PROFESIONAL
IRNR1116,IRNR1116 - TALLER DE INGENIERIA DE RECURSOS NATURALES
KINE1108,KINE1108 - BASES NEUROLOGICAS DEL MOVIMIENTO II
KINE1116,KINE1116 - NEUROREHABILITACION I
MAT1132,MAT1132 - GEOMETRIA EUCLIDIANA II
MAT1135,MAT1135 - GEOMETRIA DEL ESPACIO Y VECTORIAL
MATE1103,MATE1103 - MATEMATICA APLICADA CIENCIAS DE LA SALUD
MATE1109,MATE1109 - CALCULO I
MVET1111,MVET1111 - EPIDEMIOLOGÍA
NUTR1129,NUTR1129 - PRÁCTICA PROFESIONAL II
PAH1109,PAH1109 - CULTURA Y VISUALIDAD
PBM1173,PBM1173 - ECOLOGIA Y MEDIO AMBIENTE PARA LA ENSEÑANZA
PCE1131,PCE1131 - POLÍTICAS EDUCATIVAS Y PROFESIÓN DOCENTE
PSIC1108,PSIC1108 - PSICOLOGIA SOCIAL
PSIC1130,PSIC1130 - PSICOLOGIA EDUCACIONAL
QUI1142,QUI1142 - QUÍMICA GENERAL
SCLG1903,"SCLG1903 - SOCIEDAD, GÉNERO Y POLÍTICA PÚBLICA"
TEMD1127,TEMD1127 - SEMINARIO DE GRADO
TEMD1129,TEMD1129 - DIAGNOSTICO INTEGRADO
TOCU1114,TOCU1114 - ARTE Y CORPORALIDAD
TSO1169,TSO1169 - DISEÑO DE INVESTIGACION CUANTITATIVA: TECNICAS Y ANALISIS
VET1160,VET1160 - METODOLOGIA DE LA INVESTIGACION
AGR0136,AGR0136 - FRUTALES DE HOJA CADUCA Y PERSISTENTE
ANT1134,ANT1134 - MAPUDUNGUN Y CULTURA MAPUCHE
CAMB1104,CAMB1104 - QUIMICA ORGANICA
DERE1118,DERE1118 - DERECHO PROCESAL III
EDI1148,EDI1148 - TALLER DIVERSIDAD Y DESARROLLO PROFESIONAL
FONO1105,FONO1105 - DESARROLLO DE LA COMUNICACION: FONETICA Y FONOLOGIA
ICO0147,ICO0147 - MICROECONOMIA II
INFO1139,INFO1139 - PROGRAMACION DE ROBOT
INFO1171,INFO1171 - TALLER DE INTEGRACION II
LAV1171,LAV1171 - MODULO IV: FIGURA HUMANA I
LEN1130,LEN1130 - INGLES COMUNICATIVO II
LEN1164,LEN1164 - FONETICA II
QFAR1107,QFAR1107 - QUIMICA II
TEMD1117,TEMD1117 - MICROBIOLOGIA GENERAL
TPF1131,TPF1131 - PREPARACION FISICA PARA DEPORTES COLECTIVOS E INDIVIDUALES
AGR1114,AGR1114 - GENÉTICA AGROPECUARIA
AGR1136,AGR1136 - PRODUCCIÓN HORTÍCOLA
AMB1118,AMB1118 - BIOGEOGRAFIA
AMB1181,AMB1181 - UNIDAD DE INVESTIGACION CIENTIFICA
ANT1135,ANT1135 - TALLER INVESTIGACION II
AQG1109,AQG1109 - REGISTRO Y CONSERVACION DE COLECCIONES
DDO1015,DDO1015 - SOCIEDAD Y MEDIO AMBIENTE
DDO1054,DDO1054 - PATRIMONIO CULTURAL EN LA ARAUCANIA. UN APORTE A LA ...
DERE1137,DERE1137 - DERECHO TRIBUTARIO II
DERE1147,DERE1147 - DERECHO DE LOS PUEBLOS INDÍGENAS.
DERE1149,DERE1149 - EXAMEN DE GRADO
EFI1161,EFI1161 - EDUCACION FISICA MOTRIZ Y CONTACTO CON EL MEDIO AMBIENTE
EFI1173,EFI1173 - TALLER CONEXIONES DIDACTICAS DISCIPLINARES II
EPA1197,EPA1197 - PROGRAMAS Y EXP EDUCATIVAS
FCRF1105,FCRF1105 - ECLESIOLOGÍA
FIS1141,FIS1141 - FISICA I
FONO1118,FONO1118 - EVALUACIÓN DEL EQUILIBRIO Y ELECTROFISIOLOGÍA DE LA AUDICIÓN
FONO1120,FONO1120 - INTERVENCIÓN DE LA COMUNICACIÓN EN NIÑOS Y ADOLESCENTES II
GEO1129,GEO1129 - GEOLOGIA HISTORICA
ICI1130,ICI1130 - PLANEAMIENTO Y CONTROL DE PRODUCCION II
ICO0150,ICO0150 - POLITICA ECONOMICA Y DESARROLLO LOCAL
ICO0156,ICO0156 - ECONOMETRÍA
IET1426,IET1426 - ¿ES RAZONABLE PENSAR A DIOS HOY?
IET1439,IET1439 - MEMORIA Y DERECHOS HUMANOS
INFO1120,INFO1120 - PROGRAMACION I
INFO1187,INFO1187 - TOPICOS AVANZADOS DE TECNOLOGÍA INFORMACIÓN II
LEN1171,LEN1171 - GRAMATICA EN CONTEXTO II
OFIC1108,OFIC1108 - MATERIA PRIMA Y TÉCNICAS PRIMARIAS
PAAV1107,PAAV1107 - DIDÁCTICA DE LOS LENGUAJES EXPRESIVOS VISUALES
PBI1124,PBI1124 - PRÁCTICA PEDAGÓGICA: PROCESO PEDAGÓGICO EN CONTEXTO INTERCULTURAL
PSIC1138,PSIC1138 - PSICOLOGIA POLITICA E INTERCULTURAL
SCLG1164,SCLG1164 - SOCIOLOGÍA ECONÓMICA
TEFL1171,TEFL1171 - DIDACTICA II
TEP1152,TEP1152 - CURRICULUM DE EDUCACIÓN PARVULARIA II
TOCU1122,TOCU1122 - INVESTIGACION EN TERAPIA OCUPACIONAL
TTU1141,TTU1141 - PRACTICA PROFESIONAL
VET1149,VET1149 - TERAPEUTICA IV
AMB1157,AMB1157 - GEOGRAFIA RURAL
ANT1142,ANT1142 - TEORIA Y PROBLEMAS ANTROPOLOGICOS II
APUB1148,APUB1148 - MONITOREO E IMPLEMENTACIÓN DE POLÍTICAS
CAMB1105,CAMB1105 - FUNDAMENTOS DE QUÍMICA
CCB1116,CCB1116 - FISIOLOGIA
DDO1100,DDO1100 - LACTANCIA MATERNA DESDE LA PERSPECTIVA DE GÉNERO
DERE1131,DERE1131 - DERECHO PROCESAL PENAL
DERE1138,DERE1138 - FILOSOFÍA DEL DERECHO
EFI1168,EFI1168 - ACTIVIDADES FISICAS EMERGENTES PARA LA SALUD Y LA MOTRICIDAD
FIL1104,FIL1104 - HISTORIA DE LA FILOSOFÍA MEDIEVAL
FONO1104,FONO1104 - PSICOLOGIA DEL CICLO VITAL
ICG1173,ICG1173 - GEOMORFOLOGIA
ICI1111,ICI1111 - ESTUDIO DEL TRABAJO
ICO1196,ICO1196 - CONTROL DE GESTIÓN
ICOC1147,ICOC1147 - EVALUACION DE PROYECTOS DE OBRAS CIVILES
ICQ1187,ICQ1187 - DISEÑO DE REACTORES HETEROGENEOS
IET1428,IET1428 - CINE Y SENTIDO
INGEL1108,INGEL1108 - ÁLGEBRA LINEAL
MATE1104,MATE1104 - BIOESTADISTICA
MATE1110,MATE1110 - ALGEBRA LINEAL
MVET1108,MVET1108 - FISIOLOGIA ANIMAL II
PLCM1111,PLCM1111 - ÜLKANTUN: CANTOS Y ROMANCEADAS
TEMD1102,TEMD1102 - HISTOLOGIA
TOCU1130,TOCU1130 - TRABAJO DE GRADO
TOCU1131,TOCU1131 - TERAPIA OCUPACIONAL INFANTO-JUVENIL
ADM1157,ADM1157 - ADMINISTRACIÓN DE RECURSOS HUMANOS
AMB1146,AMB1146 - FUNDAMENTOS DE ORDENAMIENTO TERRITORIAL
AMB1156,AMB1156 - DESARROLLO LOCAL Y REGIONAL
AMB1194,AMB1194 - BIOLOGIA DE VEGETALES ACUATICOS
CAU1116,CAU1116 - SISTEMAS DE INFORMACION ADMINISTRATIVOS II
CES1147,"CES1147 - SALUD FAMILIAR, COMUNITARIA E INTERCULTURAL II"
DDO1082,"DDO1082 - CREATIVIDAD, INNOVACIÓN Y EMPRENDIMIENTO"
DERE1911,DERE1911 - CONTRATACIÓN PÚBLICA
DERE1918,DERE1918 - DERECHO INMOBILIARIO
DOCG1102,DOCG1102 - DINÁMICA
DOCG1103,DOCG1103 - MECÁNICA DE FLUIDOS
EMH1203,EMH1203 - ECONOMIA Y SOCIEDAD
GEO1169,GEO1169 - VULCANOLOGIA
ICOC1126,ICOC1126 - INVESTIGACION DE OPERACIONES
ICOC1143,ICOC1143 - CONSTRUCCION EN ACERO
ICQ1185,ICQ1185 - INGENIERIA EN ALIMENTOS
IET1429,IET1429 - DILEMAS BIOETICOS EN LA SOCIEDAD CONTEMPORANEA
INGEL1109,INGEL1109 - CÁLCULO II
KINE1110,KINE1110 - ERGONOMIA
LEN1132,LEN1132 - INGLES TECNICO II
LEN1138,LEN1138 - COMUNICACION Y PRAGMATICA
LEN1154,LEN1154 - INGLES II
LEN1188,LEN1188 - INGLES IV
MATE1126,MATE1126 - CÁLCULO III
MVET1113,MVET1113 - PARASITOLOGÍA
NUTR1103,NUTR1103 - MICROBIOLOGIA Y PARASITOLOGIA
OCIV1104,OCIV1104 - INGENIERIA VIAL II
PMM1123,PMM1123 - DIDACTICA DE LOS NUMEROS
PSIC1131,PSIC1131 - SALUD MENTAL II
TOCU1120,TOCU1120 - SALUD MENTAL Y PSIQUIATRIA
TRAD1118,TRAD1118 - TEORÍA Y TÉCNICAS DE  TRADUCCIÓN II	
ADM1143,ADM1143 - TALLER GESTION DE MIPYMES
AGR1124,AGR1124 - DISEÑO DE SISTEMAS DE RIEGO Y DRENAJE
ANT1123,ANT1123 - SOCIEDADES Y CULTURAS DE CHILE
ARQ1149,ARQ1149 - TALLER III
BACH1107,BACH1107 - MATEMATICA FUNDAMENTAL II
CAU1147,CAU1147 - TRIBUTACION II
CPLT1141,CPLT1141 - RELACIONES INTERNACIONALES
DDO1012,DDO1012 - VIDA SALUDABLE
DERE1109,DERE1109 - DERECHO CONSTITUCIONAL I
EDI1156,EDI1156 - FAMILIA Y CONDICIONES DE EDUCABILIDAD
EDI1157,EDI1157 - PRACTICA II
EFI1146,EFI1146 - FISIOLOGIA DEL EJERCICIO FISICO Y EL ENTRENAMIENTO
EMH1186,EMH1186 - GEOGRAFIA DE AMERICA
EMH1187,EMH1187 - PROBLEMATICAS Y DESAFIOS DE LA CIUDADANIA ACTUAL
EPA1180,EPA1180 - LENGUAJES ARTISTICOS II MUSICA Y MOTRICIDAD
FIL1115,FIL1115 - METAFÍSICA
FIS1105,FIS1105 - FISICA
FONO1111,FONO1111 - RAZONAMIENTO CLINICO
GEO1147,GEO1147 - MAPEO GEOLOGICO
ICG1174,ICG1174 - PETROLOGIA
ICO1150,ICO1150 - POLITICA ECNOMICA Y DESARROLLO LOCAL
ICOC1144,ICOC1144 - PROGRAMACION Y CONTROL DE PROYECTOS
IET1447,IET1447 - HACIA UNA ECOLOGÍA INTEGRAL: LA PROPUESTA DEL PAPA FRANCISCO
LEN1139,LEN1139 - OBRAS FUNDACIONALES DE LA LITERATURA CHILENA Y LATINOAMERICANA
LEN1190,LEN1190 - INGLES APLICADO A LAS CIENCIAS DE LA SALUD
MAT1114,MAT1114 - CALCULO I
MAT1149,MAT1149 - ESTADISTICA DESCRIPTIVA APLICADA
NUTR1110,NUTR1110 - QUIMICA Y CONTROL DE LOS ALIMENTOS
PBM1169,PBM1169 - PRACTICA II
PBM1182,PBM1182 - PRACTICA VI INTEGRACIÓN DISCIPLINARIA
SCLG1166,SCLG1166 - TEORÍA SOCIOLÓGICA CONTEMPORANEA
TADM1111,TADM1111 - GESTIÓN TECNOLÓGICA II
TOCU1132,TOCU1132 - TERAPIA OCUPACION EN ADULTOS
TPF1139,TPF1139 - PREPARACION FISICA PARA ALTO RENDIMIENTO
AGR1110,AGR1110 - TALLER DE VINCULACIÓN PROFESIONAL
AGR1115,AGR1115 - EDAFOLOGÍA AGRÍCOLA
ARQ1165,ARQ1165 - INSTALACIONES Y SISTEMAS
BIO1149,BIO1149 - BIOLOGÍA CELULAR
CONS1105,CONS1105 - TECNOLOGÍA DE LOS MATERIALES
CPLT1159,CPLT1159 - TÓPICOS DE RR.II.
DDO1011,DDO1011 - DERECHOS HUMANOS Y SOCIEDAD
DERE1121,DERE1121 - DERECHO COMERCIAL I
DISE1101,DISE1101 - TALLER DE DISEÑO 1
DISE1102,DISE1102 - PENSAMIENTO CRÍTICO Y CREATIVO
EDI1168,EDI1168 - TALLER JUEGO Y EXPRESION PARA EL APRENDIZAJE
EMH1169,EMH1169 - HISTORIA MEDIEVAL
EPA1181,EPA1181 - HABILIDADES COMUNICATIVAS EN EL PARVULO
GEOG1106,GEOG1106 - TALLER DE PLANIFICACION TERRITORIAL
ICO1147,ICO1147 - MICROECONOMIA II
MATE1112,MATE1112 - PROBABILIDADES Y ESTADISTICAS
MATE1119,MATE1119 - PROBABILIDAD Y ESTADÍSTICA	
NUTR1125,NUTR1125 - TRABAJO DE GRADO
PAH1107,PAH1107 - SOCIEDAD Y CULTURA
PBI1142,PBI1142 - CIUDADANÍAS Y CIUDADANÍA MAPUNCHE
PRPA1110,PRPA1110 - PROFESOR (A) DE RELIGIÓN Y SU MINISTERIO II
QFAR1102,QFAR1102 - QUÍMICA I
SCLG1156,SCLG1156 - PROCESOS POLITICOS Y SOCIALES: MODERNIDAD
TADM1108,TADM1108 - COSTOS PARA LA TOMA DE DECISIONES
TEFL1170,TEFL1170 - CONVIVENCIA ESCOLAR
TTG1108,TTG1108 - DIBUJO TOPOGRAFICO I
AMB1111,AMB1111 - FLORA Y VEGETACION DE CHILE
AMB1121,AMB1121 - GEOLOGIA Y GEOMORFOLOGIA
AMB1176,AMB1176 - ECOLOGIA
APUB1141,APUB1141 - CONTABILIDAD GENERAL
AQG1124,AQG1124 - SEMINARIO TEMATICO II
ARQ1151,ARQ1151 - FORMAS SISMORESISTENTE
ARQ1167,ARQ1167 - ECOSISTEMA TERRITORIAL RURAL Y URBANO
CNB1108,CNB1108 - TIERRA Y UNIVERSO
DDO1008,DDO1008 - COMPETENCIA EMPRENDEDORA
EFI1169,EFI1169 - ACTIVIDADES DE AVENTURA EN CONTEXTOS NATURALES
EPA1171,EPA1171 - GESTION EDUCATIVA
FIL1138,FIL1138 - PRACTICA EN SABERES FILOSOFICOS
ICI1124,ICI1124 - ESTUDIOS DE MERCADO
ICO1139,ICO1139 - MARKETING II
IET1424,IET1424 - APORTES DE LA MORAL CRISTIANA FRENTE A LAS PROBLEMÁTICAS ACTUALES
IET1427,IET1427 - LA AVENTURA DEL PENSAMIENTO
IRNR1101,IRNR1101 - ECOLOGIA Y DINAMICA DEL BOSQUE NATIVO
LAV1172,LAV1172 - ARTE LATINOAMERICANO
LEN1169,LEN1169 - LINGUISTICA APLICADA
MATE1123,MATE1123 - ALGEBRA LINEAL
MVET1109,MVET1109 - PATOLOGIA GENERAL
OCIV1102,OCIV1102 - ANALISIS DE ESTRUCTURAS I
PBI1126,PBI1126 - WIÑOKINTUGEN RUPAWMA ZUGU
PSIC1106,PSIC1106 - TEORIAS Y SISTEMAS PSICOLOGICOS
TEMD1116,TEMD1116 - DIAGNOSTICO PARASITOLOGICO
TEMD1119,TEMD1119 - HEMATOLOGIA CLINICA
TEP1142,TEP1142 - CUIDADO Y SALUD DEL PÁRVULO. (SERVICIO SOCIOCOMUNITARIO)
TRAD1133,TRAD1133 - METODOLOGÍA DE INVESTIGACIÓN EN TRADUCCIÓN	
TSO1189,TSO1189 - TALLER DE PRACTICA Y SISTEMATIZACION PROFESIONAL IV
TUPA1122,TUPA1122 - MÉTODOS Y MANEJO DE RIEGO
ADM1132,ADM1132 - MACROECONOMIA
AGR1920,AGR1920 - PRODUCCIÓN Y TECNOLOGÍA DE SEMILLAS
APUB1146,APUB1146 - MODERNIZACIÓN DEL ESTADO
ARQ1140,ARQ1140 - TALLER I
ARQ1143,ARQ1143 - FILOSOFANDO CON LA HISTORIA
CNB1139,CNB1139 - INTERNADO PEDAGOGICO II
DDO1071,DDO1071 - HABLEMOS DEL OTRO CHILE: POBREZA Y DESIGUALDAD
DERE1140,DERE1140 - DERECHO PROCESAL DE FAMILIA.
DERE1143,"DERE1143 - NEGOCIACIÓN, MEDIACIÓN Y ARBITRAJE"
DERE1912,DERE1912 - PROPIEDAD INTELECTUAL
EMHG1107,EMHG1107 - CONEXIONES DIDACTICO DISCIPLINARES
FCJ1135,FCJ1135 - LITIGACION ORAL
FCRF1420,FCRF1420 - LA MUJER EN LA BIBLIA
GEOG1112,GEOG1112 - TALLER DE PROYECTOS GEOGRAFICOS II
ICA1117,ICA1117 - NORMALIZACION Y CERTIFICACION AMBIENTAL
ICA1125,ICA1125 - RESOLUCION DE CONFLICTOS
ICG1172,ICG1172 - GEOLOGIA ESTRUCTURAL
ICI1107,ICI1107 - GESTION DE LA CALIDAD
ICOC1129,ICOC1129 - COSTOS Y PRESUPUESTOS
IET1431,IET1431 - ETICA PROFESIONAL
IET1441,IET1441 - BIBLIA Y JUSTICIA SOCIAL
IET1450,IET1450 - BIBLIA COMO CULTURA Y LITERATURA
INFO1158,INFO1158 - TEORÍA DE GRAFOS
INFO1186,INFO1186 - TOPICOS AVANZADOS DE TECNOLOGÍA INFORMACIÓN I
INGEL1110,INGEL1110 - FISICA I
KINE1128,KINE1128 - TRABAJO DE GRADO
LEN1705,LEN1705 - INGLÉS TÉCNICO
MAT1147,MAT1147 - MATEMATICA APLICADA II
MAT1193,MAT1193 - ALGEBRA LINEAL
MATE1113,MATE1113 - CALCULO III
MVET1905,MVET1905 - FAUNA SILVESTRE DE CHILE
NUTR1105,NUTR1105 - HISTOLOGIA
PBI1113,PBI1113 - PRÁCTICA PEDAGÓGICA: DESARROLLO PROFESIONAL DOCENTE EN CONTEXTO INTERCULTURAL
PBM1108,PBM1108 - PENSAMIENTO HISTORICO PARA EL APRENDIZAJE LAS CULTURAS DE LA HUMANIDAD
PLC1104,PLC1104 - PRACTICA INICIAL: DIAGNOSTICO PEDAGOGICO INTERMEDIO
PLC1105,PLC1105 - COMPRENSION Y PRODUCCION PARA EL APRENDIZAJE DE TEXTOS AUTENTICOS CON ENFASIS EN EL RESUMEN Y LA SINTESIS
PSIC1109,PSIC1109 - PROCESOS NEUROPSICOLOGICOS I
SCLG1154,SCLG1154 - INTRODUCCION A LOS METODOS DE INVESTIGACION
TRAD1108,TRAD1108 - LENGUA Y CULTURA INGLESA II	
TRAD1109,TRAD1109 - FONÉTICA INGLESA II
TTG1124,TTG1124 - GESTION DE PROYECTOS TOPOGRAFICOS
ADM1138,ADM1138 - CONTABILIDAD IV
AGR1125,AGR1125 - ESTADÍSTICA APLICADA A LA AGRONOMÍA
AMB1130,AMB1130 - GEOGRAFÍA ECONÓMICA
ANT1147,ANT1147 - INVESTIGACION AUDIOVISUAL
ANT1158,ANT1158 - ANTROPOLOGIA LATINOAMERICANA
ANT1161,ANT1161 - TALLER DE TITULACION
AQG1107,AQG1107 - TEORIA ARQUEOLOGICA II
AQG1118,AQG1118 - DISEÑO Y GESTION DE PROYECTOS DE INVESTIGACION
AQG1125,AQG1125 - TRABAJO DE TITULO II
ARQ1157,ARQ1157 - TECTÓNICA Y CIENCIAS DE LOS MATERIALES
CEA1140,CEA1140 - MACROECONOMÍA
CONS1108,CONS1108 - TECNOLOGÍA DEL HORMIGÓN
CPLT1136,CPLT1136 - HISTORIA DE LAS IDEAS POLÍTICAS
DERE1117,DERE1117 - DERECHO CIVIL II
